epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,57551,0.84838,0.61807,1.19619,0.8935,0.85095,0.8766,0.54383,1.42391,0.74825,1.46849,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,58530.3,0.83518,0.60395,1.18743,0.89037,0.85095,0.87636,0.54371,1.42304,0.74819,1.46798,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,59493.4,0.83703,0.60818,1.18664,0.88954,0.85221,0.87612,0.54508,1.4214,0.74816,1.46663,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,60469.9,0.83375,0.59899,1.18514,0.8899,0.85139,0.87707,0.54367,1.42099,0.7507,1.46579,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,61443.2,0.82604,0.59415,1.18075,0.89049,0.85141,0.87759,0.54605,1.41877,0.75012,1.4642,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,62417.2,0.82642,0.59004,1.17766,0.89322,0.85095,0.8766,0.54713,1.41834,0.75089,1.46454,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,63390.9,0.81573,0.58343,1.17294,0.89404,0.85095,0.87687,0.54535,1.41672,0.7466,1.4641,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,64355.6,0.81812,0.58338,1.17212,0.89506,0.85095,0.8769,0.5468,1.41758,0.74682,1.46434,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,65321.4,0.80593,0.57344,1.16473,0.89525,0.85177,0.87701,0.54552,1.41616,0.74632,1.46466,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
67,66280,0.8023,0.56877,1.16094,0.89301,0.84678,0.87396,0.54631,1.41514,0.74507,1.46396,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
68,67244.3,0.79895,0.56372,1.16177,0.89318,0.84487,0.87225,0.54506,1.41369,0.74505,1.46418,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725,0.0134175,0.0044725
69,68211.5,0.79552,0.55923,1.15827,0.89579,0.84355,0.87249,0.54533,1.41438,0.74259,1.46581,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
70,69176.5,0.79471,0.56059,1.15932,0.90871,0.84194,0.87251,0.5457,1.41326,0.74123,1.46494,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
71,70146.4,0.77954,0.55439,1.15047,0.91401,0.84194,0.8739,0.54542,1.41438,0.73807,1.46564,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
72,71113.4,0.78243,0.54734,1.14876,0.91461,0.84194,0.8713,0.54291,1.41327,0.73878,1.46431,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425,0.0124275,0.0041425
73,72116.7,0.77526,0.54065,1.14323,0.917,0.84419,0.87172,0.54275,1.41174,0.73587,1.46435,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
74,73115.3,0.76823,0.53764,1.13974,0.91695,0.84419,0.87173,0.54193,1.41016,0.73758,1.46426,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775,0.0119325,0.0039775
75,74104.6,0.76478,0.53313,1.13705,0.91646,0.84419,0.8724,0.53964,1.41172,0.73392,1.46377,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
76,75110.5,0.76334,0.52911,1.13428,0.91825,0.84781,0.87325,0.5388,1.41374,0.73209,1.46613,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
77,76116.8,0.75857,0.5274,1.13169,0.91736,0.8503,0.87281,0.53925,1.41345,0.73179,1.46642,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
78,77112.4,0.75046,0.51777,1.12677,0.91447,0.84984,0.87251,0.54,1.41407,0.73124,1.46683,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475,0.0109425,0.0036475
79,78107.2,0.74604,0.51649,1.12408,0.9143,0.85052,0.87216,0.5397,1.41456,0.73152,1.46907,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
80,79090,0.74174,0.5111,1.1192,0.91407,0.85095,0.87215,0.54177,1.41572,0.73132,1.46966,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825,0.0104475,0.0034825
81,80080.5,0.73498,0.5066,1.11576,0.91436,0.85095,0.87194,0.54111,1.41703,0.7317,1.47124,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,81073.8,0.73123,0.50622,1.11547,0.91447,0.85095,0.87301,0.54247,1.41859,0.73195,1.47288,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,82065.2,0.72566,0.49986,1.11021,0.91695,0.8532,0.87696,0.54334,1.42038,0.73433,1.47367,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
