                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
116,0.8805,0.6438,1.179,0.886,0.811,0.853,0.508,0.0,0.0,0.0,0.0,0.0,0.0
117,0.8809,0.6466,1.177,0.882,0.814,0.852,0.507,0.0,0.0,0.0,0.0,0.0,0.0
118,0.8757,0.6435,1.177,0.884,0.814,0.852,0.507,0.0,0.0,0.0,0.0,0.0,0.0
119,0.8761,0.6392,1.176,0.884,0.814,0.853,0.508,0.0,0.0,0.0,0.0,0.0,0.0
120,0.8759,0.6369,1.175,0.887,0.814,0.853,0.505,0.0,0.0,0.0,0.0,0.0,0.0
121,0.8738,0.6358,1.172,0.882,0.812,0.853,0.506,0.0,0.0,0.0,0.0,0.0,0.0
122,0.8734,0.6315,1.172,0.883,0.806,0.85,0.505,0.0,0.0,0.0,0.0,0.0,0.0
123,0.8678,0.6245,1.169,0.878,0.806,0.85,0.506,0.0,0.0,0.0,0.0,0.0,0.0
124,0.8713,0.6297,1.168,0.879,0.81,0.851,0.505,0.0,0.0,0.0,0.0,0.0,0.0
125,0.8684,0.6245,1.168,0.88,0.811,0.851,0.506,0.0,0.0,0.0,0.0,0.0,0.0
126,0.868,0.6318,1.167,0.88,0.809,0.849,0.506,0.0,0.0,0.0,0.0,0.0,0.0
127,0.861,0.6148,1.164,0.875,0.808,0.849,0.506,0.0,0.0,0.0,0.0,0.0,0.0
128,0.8593,0.6139,1.163,0.872,0.81,0.85,0.505,0.0,0.0,0.0,0.0,0.0,0.0
129,0.8599,0.6206,1.162,0.884,0.809,0.847,0.505,0.0,0.0,0.0,0.0,0.0,0.0
130,0.8536,0.6108,1.16,0.884,0.808,0.847,0.505,0.0,0.0,0.0,0.0,0.0,0.0
131,0.8548,0.6071,1.158,0.86,0.822,0.847,0.505,0.0,0.0,0.0,0.0,0.0,0.0
132,0.8588,0.6085,1.158,0.86,0.822,0.848,0.507,0.0,0.0,0.0,0.0,0.0,0.0
133,0.8527,0.6139,1.157,0.877,0.805,0.848,0.506,0.0,0.0,0.0,0.0,0.0,0.0
